"Release Start","CWT Tag Race","Hatchery","Release Site","Release Type","Loss","CWTNumberReleased","% CWT Marked ofTotalNumberReleased","% Loss ofCWTNumberReleased","First Loss","Last Loss"
"2023-12-22","Late-Fall","Coleman NFH","Battle Creek at CNFH","Experimental","36.835","60764","100.0","0.061","2024-01-09","2024-02-06"
"2023-12-29","Late-Fall","Coleman NFH","Battle Creek at CNFH","Experimental","38.958","71049","100.0","0.055","2024-01-10","2024-03-15"
"2024-01-11","Late-Fall","Coleman NFH","Battle Creek at CNFH","Experimental","94.154","67018","100.0","0.140","2024-01-22","2024-04-16"
